lon,lat,id,descr
-87.440258,30.69046866,02376500,"PERDIDO RIVER AT BARRINEAU PARK, FL"
-87.6072077,30.63713636,02377560,"STYX R NR LOXLEY, AT SMITHS SIDING, ALA"
-87.5472057,30.6057484,02377570,"STYX RIVER NEAR ELSANOR, AL."
-87.652763,30.3882541,02378170,"WOLF CREEK BELOW FOLEY, ALA"
-87.7369323,30.40658669,02378300,"MAGNOLIA RIVER AT US 98 NEAR FOLEY, ALABAMA"
-87.79860149,30.54547146,02378500,"FISH RIVER NEAR SILVER HILL AL"
-88.0208321,31.01573579,02470629,"MOBILE RIVER AT RIVER MILE 31.0 AT BUCKS, AL"
-88.0111095,31.00295846,02470630,"MOBILE RIVER AT BARRY STEAMPLANT NR BUCKS (INTAKE)"
-88.1433355,30.80296466,02471001,"CHICKASAW CREEK NEAR KUSHLA AL"
-87.9586086,31.06712274,02471019,"TENSAW RIVER NR MOUNT VERNON, ALA"
-88.1813906,30.50075106,02471078,"FOWL RIVER AT HALF-MILE RD NEAR LAURENDINE, AL."
-88.3338988,30.85601968,02479945,"BIG CREEK AT COUNTY RD 63 NEAR WILMER, AL."
-88.3188979,30.78018805,02479980,"CROOKED CREEK NEAR FAIRVIEW, AL."
-88.2763955,30.7260225,02480002,"HAMILTON CREEK AT SNOW ROAD NEAR SEMMES, AL."
-87.8366667,30.3761111,302234087501201,"Mouth of Weeks Bay at Fish River Point"
-87.8483611,30.40477778,302416087505501,"ww 13-usgs 302416087505501"
-130.0669823,56.025815,15008000,"SALMON R NR HYDER AK"
-130.1833693,55.83302857,15009000,"SOULE R NR HYDER AK"
-133.7017432,58.53829828,15041200,"TAKU R NR JUNEAU AK"
-134.4676074,58.33217378,15051010,"SALMON C NR JUNEAU AK"
-134.4226062,58.3913429,15052000,"LEMON C NR JUNEAU AK"
-134.5745592,58.4293972,15052500,"MENDENHALL R NR AUKE BAY AK"
-134.6112276,58.397729,15052800,"MONTANA C NR AUKE BAY AK"
-134.710401,58.85162387,15055500,"ANTLER R BL ANTLER LK NR AUKE BAY AK"
-135.185708,59.0049486,15056030,"KAKUHAN C NR HAINES AK"
-135.3462752,59.5116183,15056210,"TAIYA R NR SKAGWAY AK"
-131.7005736,55.3424302,15058700,"GOVERNMENT C NR KETCHIKAN AK"
-131.1955833,55.3916038,15072000,"FISH C NR KETCHIKAN AK"
-133.1103222,55.8010287,15081497,"STANEY C NR KLAWOCK AK"
-132.4086268,55.3951944,15085100,"OLD TOM C NR KASAAN AK"
-135.1642635,57.01880376,15088200,"SILVER BAY TR AT BEAR COVE NR SITKA AK"
-134.8875862,57.1310482,15099900,"TAKATZ C AT TAKATZ LAKE OUTLET NR BARANOF AK"
-134.8656418,57.1427162,15100000,"TAKATZ C NR BARANOF AK"
-148.9370979,60.3869064,15236895,"WOLVERINE GLACIER 24 MI NE OF SEWARD AK"
-148.8987624,60.36995858,15236900,"WOLVERINE C NR LAWING AK"
-149.3754835,60.19777389,15237730,"GROUSE C AT GROUSE LK OUTLET NR SEWARD AK"
-150.7054468,59.6838574,15238648,"UPPER NUKA R NR PARK BOUNDARY NR HOMER AK"
-150.8990619,59.73801597,15238982,"BATTLE C BL GLACIER NR HOMER AK"
-150.955177,59.76173646,15238986,"BATTLE C 1.0 MI AB MOUTH NR HOMER AK"
-150.704616,59.6999688,15238990,"UPPER BRADLEY R NR NUKA GLACIER NR HOMER AK"
-150.8526778,59.7577407,15239001,"BRADLEY R BL DAM NR HOMER AK"
-150.7562948,59.77774568,15239050,"MF BRADLEY R NR HOMER AK"
-150.8654632,59.79774138,15239060,"MF BRADLEY R BL NF BRADLEY R NR HOMER AK"
-150.8849079,59.80107399,15239070,"BRADLEY R NR TIDEWATER NR HOMER AK"
-151.7552124,59.74660897,15239900,"ANCHOR R NR ANCHOR POINT AK"
-149.3460397,60.2944395,15243900,"SNOW R NR SEWARD AK"
-149.8099203,60.49219269,15258000,"KENAI R AT COOPER LANDING AK"
-149.882711,60.4799795,15261000,"COOPER C AT MOUTH NR COOPER LANDING AK"
-150.60109,60.466099,15266110,"KENAI R BL SKILAK LK OUTLET NR STERLING AK"
-151.0816675,60.4769289,15266300,"KENAI R AT SOLDOTNA AK"
-149.427443,60.82027267,15271000,"SIXMILE C NR HOPE AK"
-148.9241074,60.8974833,15272380,"TWENTYMILE R BL GLACIER R NR PORTAGE AK"
-149.9255337,61.1388906,15274600,"CAMPBELL C NR SPENARD AK"
-149.8974826,61.20472578,15275100,"CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK"
-149.6372008,61.22500619,15276000,"SHIP C NR ANCHORAGE AK"
-149.1244357,61.4102917,15278000,"EKLUTNA LK NR PALMER AK"
-148.445558,61.41905299,15280900,"GLACIER FORK KNIK R NR PALMER AK"
-149.032765,61.5044605,15281000,"KNIK R NR PALMER AK"
-149.045541,61.6828021,15283700,"MOOSE C NR PALMER AK"
-149.0730432,61.6086312,15284000,"MATANUSKA R AT PALMER AK"
-149.1983305,61.64307278,15285000,"WASILLA C NR PALMER AK"
-149.231938,61.7097433,15290000,"L SUSITNA R NR PALMER AK"
-148.6069698,62.82286078,15291700,"SUSITNA R AB TSUSENA C NR CHULITNA AK"
-149.6933794,62.7672899,15292000,"SUSITNA R AT GOLD CREEK AK"
-150.019201,62.3464388,15292700,"TALKEETNA R NR TALKEETNA AK"
-150.1772555,62.17781967,15292780,"SUSITNA R AT SUNSHINE AK"
-150.0597486,62.1047619,15292800,"MONTANA C NR MONTANA AK"
-150.073075,61.92586389,15293200,"KASHWITNA R NR WILLOW AK"
-149.8866786,61.78030346,15294005,"WILLOW C NR WILLOW AK"
-153.1639087,57.69397807,15295700,"TERROR R AT MOUTH NR KODIAK AK"
-158.9415418,56.41423979,15297584,"BLACK LK AB OUTLET NR CHIGNIK LAKE AK"
-162.6895109,55.1769059,15297610,"RUSSELL C NR COLD BAY AK"
-154.7044349,60.2036591,15298040,"CHULITNA R 5MI AB MOUTH NR PORT ALSWORTH AK"
-154.8844049,59.8237617,15300100,"BEAR C NR ILIAMNA AK"
-154.8491212,59.75653898,15300200,"ROADHOUSE C NR ILIAMNA AK"
-155.2552406,59.7859761,15300250,"UPPER TALARIK C NR ILIAMNA AK"
-154.3796745,59.84155048,15300270,"CHEKOK C NR PEDRO BAY AK"
-153.8468866,59.7579499,15300300,"ILIAMNA R NR PEDRO BAY AK"
-153.712188,59.70379507,15300320,"CHINKELYES C BL SUMMIT LK NR PEDRO BAY AK"
-156.077443,59.337622,15300520,"KASKANAK C NR IGIUGIG AK"
-158.735581,60.1492721,15301500,"ALLEN R NR ALEKNAGIK AK"
-158.1900062,59.93483,15302000,"NUYAKUK R NR DILLINGHAM AK"
-155.5246895,59.7926376,15302200,"KOKTULI R NR ILIAMNA AK"
-155.7185564,59.8424682,15302250,"NF KOKTULI R NR ILIAMNA AK"
-156.6938693,59.8376227,15302300,"MULCHATNA R AB STUYAHOK R NR NEW STUYAHOK AK"
-156.6669229,59.80901149,15302320,"STUYAHOK R NR NEW STUYAHOK AK"
-158.1137848,61.8687445,15304000,"KUSKOKWIM R AT CROOKED CREEK AK"
-158.156842,61.8893006,15304010,"CROOKED C AB AIRPORT RD NR CROOKED CREEK AK"
-141.2000892,64.789168,15356000,"YUKON R AT EAGLE AK"
-144.9445717,64.4501744,15477740,"GOODPASTER R NR BIG DELTA AK"
-145.407512,63.2590351,15478038,"GULKANA GLACIER 16 MI N OF PAXSON AK"
-145.4697352,63.2404219,15478040,"PHELAN C NR PAXSON AK"
-156.9116193,66.9455603,15743850,"DAHL C NR KOBUK AK"
-160.1336307,66.972994,15744500,"KOBUK R NR KIANA AK"
-163.6773733,67.8754405,15747000,"WULIK R BL TUTAK C NR KIVALINA AK"
-157.395848,70.4953764,15803000,"MEADE R AT ATKASUK AK"
-154.6644064,69.76639048,15820000,"IKPIKPUK R BL FRY C NR ALAKTAK AK"
-152.1246232,69.3601703,15875000,"COLVILLE R AT UMIAT AK"
-148.962786,70.28138539,15896000,"KUPARUK R NR DEADHORSE AK"
-149.3711267,68.4523967,15905100,"ATIGUN R BL GALBRAITH LK NR PUMP STATION 4 AK"
-148.8200342,69.0146482,15908000,"SAGAVANIRKTOK R NR PUMP STA 3 AK"
-146.3886988,69.8817052,15955000,"CANNING R AB STAINES R NR DEADHORSE AK"
-145.5955922,69.8650563,15960000,"TAMAYARIAK R NR KAKTOVIK AK"
-144.1927562,69.7111867,15980000,"HULAHULA R NR KAKTOVIK AK"
-149.5963756,61.2900097,611725149335401,"SB01400223BCCD1  003  KB-6"
-131.5083622,56.1996415,15019990,"TYEE LK OUTLET NR WRANGELL AK"
-132.1319653,56.70772188,15024800,"STIKINE R NR WRANGELL AK"
-132.1325175,56.2854872,15087080,"UPPER EARL WEST C NR WRANGELL AK"
-138.083688,59.39471189,15129000,"ALSEK R NR YAKUTAT AK"
-138.3284089,59.19026419,15129120,"ALSEK R AT DRY BAY NR YAKUTAT AK"
-139.4941877,59.58636636,15129500,"SITUK R NR YAKUTAT AK"
-145.5330154,62.5203918,15200280,"GULKANA R AT SOURDOUGH AK"
-144.7467135,60.6711432,15214000,"COPPER R AT MILLION DOLLAR BRIDGE NR CORDOVA AK"
-145.3806148,60.5327973,15215900,"GLACIER R TRIB NR CORDOVA AK"
-146.3050704,61.0786427,15225997,"SOLOMON GULCH AT TOP OF FALLS NR VALDEZ AK"
-145.9236,61.0556,15226650,"LOWE R AB BROWNS C NR VALDEZ AK"
-155.941803,62.8843697,15303700,"TATALINA R NR TAKOTNA AK"
-156.2129069,62.0512773,15303900,"KUSKOKWIM R AT LISKYS CROSSING NR STONY RIVER AK"
-141.4045168,64.3088552,15348000,"FORTYMILE R NR STEELE CREEK AK"
-145.0991477,66.6514678,15389100,"PORCUPINE R 9.5MI AB MOUTH NR FORT YUKON AK"
-145.7149559,65.3921157,15392000,"BIRCH C AB TWELVEMILE C NR MILLER HOUSE AK"
-146.6511339,65.805163,15452100,"BEAVER C AB VICTORIA C NR BEAVER AK"
-146.7647463,66.2212817,15452300,"BEAVER C NR MICHEL LK NR BEAVER AK"
-149.7203487,65.8751013,15453500,"YUKON R NR STEVENS VILLAGE AK"
-148.3911245,65.57540267,15457790,"GOLDSTREAM C BL ALABAM C NR LIVENGOOD AK"
-149.0989254,65.66483428,15457800,"HESS C NR LIVENGOOD AK"
-149.0940628,64.56481499,15515500,"TANANA R AT NENANA AK"
-148.2688894,65.47151429,15518900,"TOLOVANA R NR LIVENGOOD AK"
-148.6311143,65.4648407,15519100,"TOLOVANA R BL ROSEBUD C NR LIVENGOOD AK"
-148.6691702,65.4662288,15519150,"WF TOLOVANA R NR LIVENGOOD AK"
-150.1760612,67.25429,15564879,"SLATE C AT COLDFOOT AK"
-162.8829356,61.9336866,15565447,"YUKON R AT PILOT STATION AK"
-110.2549444,31.34591667,09470380,"MONTEZUMA CANYON WASH AT CORONADO NATL MEMORIAL"
-110.1111882,31.38010095,09470500,"SAN PEDRO RIVER AT PALOMINAS, AZ."
-110.0052778,31.5034722,09470700,"BANNING CREEK NEAR BISBEE, AZ."
-110.3058333,31.44666667,09470750,"RAMSEY CANYON NR SIERRA VISTA, AZ."
-110.3478588,31.47287518,09470800,"GARDEN CANYON NEAR FORT HUACHUCA, AZ."
-110.14,31.55444444,09470920,"SAN PEDRO AT LEWIS SPRINGS"
-110.1745226,31.62592644,09471000,"SAN PEDRO RIVER AT CHARLESTON, AZ."
-110.3872222,31.51805556,09471310,"HUACHUCA CANYON NEAR FORT HUACHUCA, AZ."
